model,train_r2,train_mae,train_mape_pct,train_rmse,test_r2,test_mae,test_mape_pct,test_rmse,n_train,n_test
M1_Linear,0.22738384084181085,717188.6667773832,53.541744100075626,1309575.2365152084,0.2502212513184401,1166372.094721425,79.08757486491412,1732930.9050333092,893181,614727
M2_Ridge,0.22748919965476044,717210.4322476253,53.54354842693628,1309485.942501054,0.250405024664495,1165929.4996018172,79.03217936056723,1732718.518360467,893181,614727
M3_RandomForest,0.41726605596487276,592107.1532740381,42.141669609619996,1137322.7298180556,0.23660792065183023,1033858.5700355938,43.90865647498764,1748592.085473594,893181,614727
M4_XGBoost,0.7490577697753906,368869.625,25.588839467143675,746337.8268639477,0.43957579135894775,866617.9375,36.95833147996306,1498211.3869971754,893181,614727
