zip_code,city,region,n_years,price_level,cagr_real,volatility,max_drawdown,liquidity_log,growth_recent,pca1,pca2,tsne1,tsne2,cluster,cluster_label
2860,Søborg,Zealand,33,38794.0,0.0338,0.1306,-31.3069,5.1945,-0.0471,3.0984,-0.5469,32.4522,6.004,0,Precio alto / dinamico / estable
2870,Dyssegård,Zealand,33,39900.6,0.0333,0.1072,-37.4819,3.8476,-0.1203,2.395,0.0376,30.5215,-2.2777,0,Precio alto / dinamico / estable
2880,Bagsværd,Zealand,33,37972.1,0.0338,0.1036,-37.9743,4.565,-0.0181,2.6814,-0.0188,30.9312,3.2846,0,Precio alto / dinamico / estable
2900,Hellerup,Zealand,33,54446.1,0.0438,0.1563,-29.4065,4.808,0.0319,4.0766,0.4338,35.6686,3.5839,0,Precio alto / dinamico / estable
2920,Charlottenlund,Zealand,33,49393.4,0.034,0.2094,-40.1257,4.7778,-0.056,2.9208,-0.0073,35.573,5.4317,0,Precio alto / dinamico / estable
2930,Klampenborg,Zealand,33,59200.1,0.0256,0.2032,-44.6301,2.9316,0.0378,2.0908,1.2155,33.5441,-1.8744,0,Precio alto / dinamico / estable
2950,Vedbæk,Zealand,33,46817.7,0.0358,0.1141,-40.6851,3.8687,0.1207,2.9232,1.1037,32.8543,-0.5203,0,Precio alto / dinamico / estable
2960,Rungsted Kyst,Zealand,33,44872.0,0.0323,0.1067,-30.3772,3.5326,0.0675,2.9197,0.8217,32.4088,-1.2411,0,Precio alto / dinamico / estable
2970,Hørsholm,Zealand,33,36732.0,0.0221,0.5004,-68.4838,4.8917,0.0293,0.2667,0.4591,3.2632,-0.0543,0,Precio alto / dinamico / estable
2980,Kokkedal,Zealand,33,25457.5,0.0276,0.1152,-46.0327,4.2177,0.0356,1.4667,0.1644,23.8326,0.0782,0,Precio alto / dinamico / estable
2990,Nivå,Zealand,33,30041.8,0.0319,0.1029,-39.9098,3.9372,0.0605,2.0182,0.5305,26.4334,-1.1013,0,Precio alto / dinamico / estable
3000,Helsingør,Zealand,33,30623.0,0.0244,0.2516,-44.4026,5.1236,-0.1031,1.5111,-0.789,23.6349,10.034,0,Precio alto / dinamico / estable
3050,Humlebæk,Zealand,33,28790.0,0.0236,0.1137,-34.4738,4.1938,-0.044,1.808,-0.3868,23.2101,3.0682,0,Precio alto / dinamico / estable
3060,Espergærde,Zealand,33,31566.2,0.0307,0.1005,-40.389,4.4104,0.0108,2.1577,0.0348,26.8304,1.8103,0,Precio alto / dinamico / estable
3070,Snekkersten,Zealand,33,34643.2,0.0386,0.2044,-42.9632,3.5801,-0.0419,1.8981,0.8563,28.9791,-3.7802,0,Precio alto / dinamico / estable
3080,Tikøb,Zealand,33,25270.9,0.0345,0.2825,-61.5603,2.87,0.036,0.2562,1.6876,1.9792,-13.962,0,Precio alto / dinamico / estable
3100,Hornbæk,Zealand,33,38506.6,0.0309,0.1931,-42.4079,4.3748,0.1186,2.2803,0.6695,31.1349,1.5195,0,Precio alto / dinamico / estable
3120,Dronningmølle,Zealand,33,31181.4,0.037,0.1407,-48.2289,3.7612,0.1197,1.8643,1.219,22.4623,-4.2802,0,Precio alto / dinamico / estable
3140,Ãlsgårde,Zealand,33,27938.8,0.0313,1.0838,-87.5378,3.6064,0.0202,-2.3789,2.5731,-31.3861,-5.154,1,Precio bajo / plano / volatil
3200,Helsinge,Zealand,33,21377.1,0.0229,0.1364,-39.8998,4.7609,0.0192,1.4573,-0.4826,13.1245,5.8899,0,Precio alto / dinamico / estable
3210,Vejby,Zealand,33,32930.5,0.0418,0.0992,-38.9905,4.6145,0.0935,2.855,0.6292,29.3774,1.5289,0,Precio alto / dinamico / estable
3220,Tisvildeleje,Zealand,33,41691.4,0.0438,0.1169,-28.8004,3.6994,-0.0063,3.1697,0.8003,31.4771,-1.483,0,Precio alto / dinamico / estable
3230,Græsted,Zealand,33,25737.5,0.0285,0.314,-63.0478,4.6365,-0.1398,0.3901,-0.1838,-0.0812,4.7676,0,Precio alto / dinamico / estable
3250,Gilleleje,Zealand,33,30341.4,0.0301,0.1456,-34.1084,5.0205,0.0949,2.5038,-0.0796,28.4852,5.8944,0,Precio alto / dinamico / estable
3300,Frederiksværk,Zealand,33,23356.3,0.0246,0.1274,-53.1001,5.0641,-0.0301,1.2129,-0.6095,9.5587,9.8436,0,Precio alto / dinamico / estable
