zip_code,city,region,n_years,growth_recent,liquidity_log,price_level,max_drawdown,R,F,M,RFM_score,RFM_code,rfm_segmento
3140,Ãlsgårde,Zealand,33,0.0202,3.6064,27938.8,-87.5378,3,2,5,10,325,Intermedio
3200,Helsinge,Zealand,33,0.0192,4.7609,21377.1,-39.8998,3,5,4,12,354,Intermedio
3210,Vejby,Zealand,33,0.0935,4.6145,32930.5,-38.9905,4,4,5,13,445,Champions (premium caliente-liquido)
3220,Tisvildeleje,Zealand,33,-0.0063,3.6994,41691.4,-28.8004,3,2,5,10,325,Intermedio
3230,Græsted,Zealand,33,-0.1398,4.6365,25737.5,-63.0478,2,4,5,11,245,"Premium frio (caro, sin momentum)"
3250,Gilleleje,Zealand,33,0.0949,5.0205,30341.4,-34.1084,4,5,5,14,455,Champions (premium caliente-liquido)
3300,Frederiksværk,Zealand,33,-0.0301,5.0641,23356.3,-53.1001,3,5,4,12,354,Intermedio
3310,Alsted,Zealand,33,0.0777,3.7687,21694.7,-89.1342,4,3,4,11,434,Intermedio
3320,Skævinge,Zealand,33,-0.0258,3.7938,22007.8,-48.4895,3,3,4,10,334,Intermedio
3360,Liseleje,Zealand,33,-0.0205,3.521,29077.4,-36.0621,3,2,5,10,325,Intermedio
3370,Melby,Zealand,33,0.3005,3.7434,25757.7,-39.4129,5,2,5,12,525,Intermedio
3390,Hundested,Zealand,33,0.0209,4.6479,22888.7,-45.7045,3,4,4,11,344,Intermedio
3400,Hillerød,Zealand,33,0.0451,5.5335,29472.6,-44.3272,4,5,5,14,455,Champions (premium caliente-liquido)
3450,Allerød,Zealand,33,0.0867,4.9138,33238.8,-37.1555,4,5,5,14,455,Champions (premium caliente-liquido)
3460,Birkerød,Zealand,33,0.007,4.9244,35692.9,-33.0032,3,5,5,13,355,Intermedio
3480,Fredensborg,Zealand,33,0.0807,4.4886,29909.8,-34.9922,4,4,5,13,445,Champions (premium caliente-liquido)
3500,Værløse,Zealand,33,-0.0007,4.9571,36275.8,-27.0573,3,5,5,13,355,Intermedio
3520,Farum,Zealand,33,0.0461,4.7166,33100.9,-39.338,4,4,5,13,445,Champions (premium caliente-liquido)
3540,Lynge,Zealand,33,-0.0354,3.5335,26210.6,-61.6504,3,2,5,10,325,Intermedio
3550,Slangerup,Zealand,33,0.0038,4.3579,22716.5,-51.4955,3,4,4,11,344,Intermedio
3600,Frederikssund,Zealand,33,0.0016,4.9301,25213.5,-49.6776,3,5,4,12,354,Intermedio
3630,Jægerspris,Zealand,33,0.1443,4.9805,19842.3,-44.1087,5,5,4,14,554,Champions (premium caliente-liquido)
3650,Alstykke,Zealand,33,0.2308,4.6288,25516.0,-55.6112,5,4,5,14,545,Champions (premium caliente-liquido)
3660,Stenløse,Zealand,33,0.0133,4.4348,26106.9,-37.4247,3,4,5,12,345,Intermedio
3670,Veksø Sjælland,Zealand,33,-0.0841,3.0093,26375.4,-48.7713,2,1,5,8,215,"Premium frio (caro, sin momentum)"
3700,Rønne,Bornholm,29,-0.2705,5.1163,14657.8,-47.1554,1,5,3,9,153,Intermedio
3720,Aakirkeby,Bornholm,29,0.2056,4.1182,11974.7,-49.7227,5,3,2,10,532,"Emergente (momentum, ticket medio-bajo)"
3730,Nexø,Bornholm,29,0.0556,4.4296,15550.4,-61.2844,4,4,3,11,443,"Emergente (momentum, ticket medio-bajo)"
3740,Svaneke,Bornholm,29,0.2529,3.3625,21776.8,-65.7553,5,2,4,11,524,Intermedio
3760,Gudhjem,Bornholm,29,0.1906,3.3565,16094.2,-57.1023,5,2,3,10,523,"Emergente (momentum, ticket medio-bajo)"
3770,Allinge,Bornholm,29,0.397,3.9826,21995.8,-43.4382,5,3,4,12,534,Intermedio
3790,Hasle,Bornholm,29,0.08,3.5622,15130.7,-52.1675,4,2,3,9,423,"Emergente (momentum, ticket medio-bajo)"
4000,Roskilde,Zealand,33,-0.0149,6.0814,31492.7,-41.5306,3,5,5,13,355,Intermedio
4030,Tune,Zealand,33,0.0773,3.6942,26227.4,-41.6783,4,2,5,11,425,Intermedio
4040,Jyllinge,Zealand,33,0.1303,4.4614,25148.3,-42.5913,5,4,4,13,544,Champions (premium caliente-liquido)
4050,Skibby,Zealand,33,0.03,4.3813,17700.0,-49.9844,4,4,4,12,444,Champions (premium caliente-liquido)
4060,Kirke Såby,Zealand,33,-0.0891,3.4543,17233.0,-60.6885,2,2,3,7,223,"Periferico dormido (iliquido, frio)"
4070,Kirke Hyllinge,Zealand,33,0.05,4.4459,19595.7,-47.4013,4,4,4,12,444,Champions (premium caliente-liquido)
4100,Ringsted,Zealand,33,-0.1313,5.4034,20052.7,-42.9653,2,5,4,11,254,"Premium frio (caro, sin momentum)"
