quarter,year,region,avg_sqm_price_real,n_transactions,yield_mortgage_bonds_pct,base_year_price,regional_index
2006Q2,2006,Jutland,15737.4,5610,5.1,13051.493840750445,120.58
2006Q3,2006,Jutland,16591.6,4918,5.1,13051.493840750445,127.12
2006Q4,2006,Jutland,16830.1,4122,5.1,13051.493840750445,128.95
2007Q1,2007,Jutland,18735.8,5156,5.7,13051.493840750445,143.55
2007Q2,2007,Jutland,18101.0,6057,5.7,13051.493840750445,138.69
2007Q3,2007,Jutland,17254.9,5175,5.7,13051.493840750445,132.21
2007Q4,2007,Jutland,16889.0,4809,5.7,13051.493840750445,129.4
2008Q1,2008,Jutland,17450.8,4714,6.5,13051.493840750445,133.71
2008Q2,2008,Jutland,17771.2,5360,6.5,13051.493840750445,136.16
2008Q3,2008,Jutland,16301.0,3996,6.5,13051.493840750445,124.9
2008Q4,2008,Jutland,16939.1,2779,6.5,13051.493840750445,129.79
2009Q1,2009,Jutland,15440.5,2852,5.5,13051.493840750445,118.3
2009Q2,2009,Jutland,16245.8,3754,5.5,13051.493840750445,124.47
2009Q3,2009,Jutland,17085.2,3383,5.5,13051.493840750445,130.91
2009Q4,2009,Jutland,15960.4,3607,5.5,13051.493840750445,122.29
2010Q1,2010,Jutland,15851.0,3981,4.5,13051.493840750445,121.45
2010Q2,2010,Jutland,16508.1,4792,4.5,13051.493840750445,126.48
2010Q3,2010,Jutland,15903.3,4485,4.5,13051.493840750445,121.85
2010Q4,2010,Jutland,16192.1,4745,4.5,13051.493840750445,124.06
2011Q1,2011,Jutland,17222.7,3715,4.8,13051.493840750445,131.96
2011Q2,2011,Jutland,16926.9,4159,4.8,13051.493840750445,129.69
2011Q3,2011,Jutland,16541.0,3755,4.8,13051.493840750445,126.74
2011Q4,2011,Jutland,15212.4,3497,4.8,13051.493840750445,116.56
2012Q1,2012,Jutland,15377.6,3593,3.7,13051.493840750445,117.82
2012Q2,2012,Jutland,14388.0,4258,3.7,13051.493840750445,110.24
2012Q3,2012,Jutland,14655.6,4073,3.7,13051.493840750445,112.29
2012Q4,2012,Jutland,16067.6,3684,3.7,13051.493840750445,123.11
2013Q1,2013,Jutland,15730.7,3532,3.5,13051.493840750445,120.53
2013Q2,2013,Jutland,16416.9,4677,3.5,13051.493840750445,125.79
2013Q3,2013,Jutland,15065.5,4120,3.5,13051.493840750445,115.43
2013Q4,2013,Jutland,15713.6,3846,3.5,13051.493840750445,120.4
2014Q1,2014,Jutland,15703.8,3969,3.1,13051.493840750445,120.32
2014Q2,2014,Jutland,15137.8,4795,3.1,13051.493840750445,115.99
2014Q3,2014,Jutland,14758.7,4663,3.1,13051.493840750445,113.08
2014Q4,2014,Jutland,15691.1,4574,3.1,13051.493840750445,120.22
2015Q1,2015,Jutland,16399.5,5382,2.8,13051.493840750445,125.65
2015Q2,2015,Jutland,16534.8,6437,2.8,13051.493840750445,126.69
2015Q3,2015,Jutland,15578.0,5777,2.8,13051.493840750445,119.36
2015Q4,2015,Jutland,16404.2,5332,2.8,13051.493840750445,125.69
2016Q1,2016,Jutland,17007.0,5556,2.6,13051.493840750445,130.31
2016Q2,2016,Jutland,16654.0,7086,2.6,13051.493840750445,127.6
2016Q3,2016,Jutland,16873.6,6480,2.6,13051.493840750445,129.29
2016Q4,2016,Jutland,16742.6,4185,2.6,13051.493840750445,128.28
2017Q3,2017,Jutland,16895.5,7296,2.3,13051.493840750445,129.45
2017Q4,2017,Jutland,17367.4,7905,2.3,13051.493840750445,133.07
2018Q1,2018,Jutland,16902.2,7433,2.1,13051.493840750445,129.5
2018Q2,2018,Jutland,17418.3,9384,2.1,13051.493840750445,133.46
2018Q3,2018,Jutland,16706.3,8332,2.1,13051.493840750445,128.0
2018Q4,2018,Jutland,16679.3,8015,2.1,13051.493840750445,127.8
2019Q1,2019,Jutland,16821.2,8434,1.4,13051.493840750445,128.88
2019Q2,2019,Jutland,17312.6,10008,1.4,13051.493840750445,132.65
